Article Title,Article Link,Article Text,Article Summary,Article Image
US consumer sentiment falls for fifth month driven by inflation fears,https://timesofindia.indiatimes.com/business/international-business/us-consumer-sentiment-falls-for-fifth-month-amid-inflation-fears/articleshow/121217699.cms,"AI-generated image

Consumer sentiment in the United States fell for the fifth straight month in May, driven by growing concerns over inflation linked to President Donald Trump 's trade policies.According to preliminary data from the University of Michigan , the consumer sentiment index dropped by 2.7 per cent to 50.8- its lowest level since June 2022 and nearly 30 per cent below its January reading. The decline contradicts economists’ expectations of stabilization.The drop reflects rising anxiety over inflation, fueled by Trump’s aggressive tariff strategy. Although recent trade talks led to a reduction in US tariffs on Chinese goods, from 145 per cent to 30 per cent, current rates remain historically high. In return, China agreed to lower duties on US exports from 125 per cent to 10 per cent.People became more concerned about the escalating cost of living as inflation expectations surge. The Michigan survey found that consumers anticipate inflation to hit 7.3 per cent over the next year, the highest since 1981, up from 6.5 per cent last month. The five-year inflation outlook rose to 4.6 per cent- its highest since 1991.The Michigan survey, conducted from April 22 to May 13, only partially reflected the impact of the US-China tariff reductions announced on May 11.Meanwhile actual inflation fell to 2.3 per cent last month, a four-year low, thus, the Federal Reserve officials remain cautious. Persistent inflation expectations may delay any interest rate cuts, as they risk becoming self-fulfilling through wage demands and price hikes.Fed Chair Jerome Powell had previously called these consumer projections an “outlier,” but their steady climb may influence monetary policy decisions.","The consumer sentiment index dropped by 2.7 per cent to 50.8- its lowest level since June 2022. The drop reflects rising anxiety over inflation, fueled by Trump’s aggressive tariff strategy. Consumers anticipate inflation to hit 7.3 per cent over the next year, the highest since 1981.","https://static.toiimg.com/thumb/msid-121218424,imgsize-704625,width-400,resizemode-4/121218424.jpg"
'Will not be able to operate beyond FY26': Vodafone Idea's insolvency warning without government support on AGR dues,https://timesofindia.indiatimes.com/business/india-business/will-not-be-able-to-operate-beyond-fy26-vodafone-ideas-insolvency-warning-without-government-support-on-agr-dues/articleshow/121216831.cms,"Telecom operator Vodafone Idea Limited (short VIL, commonly called Vi)informed the Department of Telecommunications ( DoT ) that it will not be able to continue operations beyond FY26 without government support on adjusted gross revenue (AGR) dues. The company said that ongoing discussions with banks for funding would stall in the absence of timely assistance.In a letter dated April 17, 2025, Vi CEO Akshaya Moondra wrote to the Telecom Secretary, stressing the urgency of intervention, according to PTI report on Friday. He said, ""Without GoI's (Government of India) timely support on AGR, VIL will not be able to operate beyond FY26 as the bank funding discussions will not move forward,"" adding that ""no support will lead to a point of no return.""Meanwhile, the Supreme Court has agreed to hear a fresh petition from Vodafone Idea seeking a waiver of approximately Rs 30,000 crore in AGR dues. Senior advocate Mukul Rohatgi, representing the company, requested an urgent hearing before a bench comprising Chief Justice B R Gavai and Justice Augustine George Masih. The hearing is scheduled for May 19.In its communication to the DoT, VIL warned that without the disbursement of bank debt, its planned investments would not materialise.The company said that operational improvements would halt and the funds raised over the past year would be exhausted, effectively bringing the capital expenditure cycle to a standstill. It stated, ""In such a case, the entire fund raising done over last 12 months and investment done so far by the company, as also the equity stake of government including the recent conversion, will lose value. ""The telecom company further hintedthat, in the absence of support and given its inability to meet AGR obligations, it could face insolvency proceedings under the National Company Law Tribunal (NCLT), potentially disrupting services and leading to the devaluation of its network and spectrum assets. The company estimated that around 200 million subscribers would be forced to port out if services were interrupted. It emphasised that timely support from the government would protect public interest and significantly benefit the Indian economy.The company said that such support would ensure continued service for about 200 million users, safeguard employment for approximately 30,000 individuals, and protect the investments of over 6 million shareholders. It noted that the government, as the largest stakeholder with a 49 per cent equity holding, stood to suffer substantial losses if Vodafone Idea became marginalised or ceased operations. It said, "". .. plus the value of GoI stake will be reduced to nil, in case no support is provided.""Vodafone Idea also reminded the government of its stated policy to maintain a three-player private telecom market. ""The government has always maintained that it supports a 3 private player market. In case the telecom sector is reduced to a duopoly, this will not only be a bad outcome for competition and consumer choice, but will also make future spectrum auctions, a constant source of revenue for the government, a non-starter,"" the company said.As part of its relief proposal, Vi urged the government to consider the principal demand as per DoT till FY19, amounting to Rs 17,213 crore, as final, and to provide a complete waiver on interest and penalties. The company noted that, after accounting for payments made in 2020 and the AGR dues converted into equity in 2023, the balance AGR dues as of March 2025 would be Rs 7,852 crore. It proposed that this amount be paid over a 20-year period, with no further accrual of interest. It also requested five additional years of moratorium until FY30, followed by 11 equal annual instalments of Rs 714 crore between FY31 and FY41.Additionally, itrequested support in spectrum-related payments. Vi sought a one-year extension of the spectrum payment period for spectrum acquired before the 2021 auction and a five-year moratorium on spectrum instalment payments from FY28 to FY32.","Telecom operator Vodafone Idea Limited (short VIL, commonly called Vi) informed the Department of Telecommunications ( DoT) that it will not be able to continue operations beyond FY26. The company said that ongoing discussions with banks for funding would stall in the absence of timely assistance.","https://static.toiimg.com/thumb/msid-121217351,imgsize-520765,width-400,resizemode-4/121217351.jpg"
Novo Nordisk CEO to step down amid market challenges and stock plunge,https://timesofindia.indiatimes.com/business/international-business/novo-nordisk-ceo-to-step-down-amid-market-challenges-and-stock-plunge/articleshow/121214675.cms,"Novo Nordisk outgoing CEO Lars Fruergaard Jorgensen (Image credit: LinkedIn)

Danish pharmaceutical giant Novo Nordisk , maker of popular weight-loss drug Ozempic , announced on Friday that CEO Lars Fruergaard Jorgensen will step down, citing ongoing ""market challenges"" and a significant drop in the company’s share value.The board and Jorgensen reached a mutual decision to initiate a leadership transition. He will remain in his role temporarily to ""support a smooth transition to new leadership"", according to the company.“The changes are, however, made in light of the recent market challenges Novo Nordisk has been facing, and the development of the company’s share price since mid-2024,” the company said in a statement. The board and Jorgensen “have jointly concluded that initiating a CEO succession is in the best interest of the company and its shareholders,"" it added.The decision comes as Novo Nordisk grapples with a sharp decline in its stock price- down more than 50 per cent since June 2024. This was after the stock value had experienced a dramatic surge following the launch of both Wegovy and the diabetes medication Ozempic, with both products containing semaglutide as their primary active component.Then, sShares fell a further three per cent on the Copenhagen exchange following Friday's CEO exit announcement.The company recently downgraded its annual sales growth projection, adjusting the forecast from 16-24 per cent to 13-21 per cent. The revision is attributed to rising competition, particularly from compounded versions of its GLP-1 drugs Wegovy and Ozempic, produced in American pharmacies during a recent supply shortage.However, the US regulators, even though had declared the shortage over in February and ordered an end to compounding, the impact continues to be felt. Novo Nordisk stated it is “actively focused on preventing unlawful and unsafe compounding.”The firm also faces increasing pressure from US rival Eli Lilly , whose weight-loss injection Zepbound is gaining traction in the same market. A research paper published in the New England Journal of Medicine on Sunday revealed that individuals achieved greater weight reduction whilst using Eli Lilly's rival medication Zepbound.Additionally, the announcement of successful clinical trials for Eli Lilly's diabetes and obesity medication orforglipron caused Novo Nordisk's share prices to decline significantly last month.Diabetes affects more than 10 percent of people globally, and treatments for this condition remain central to Novo Nordisk's pharmaceutical operations. The International Diabetes Federation projects a 46 percent rise in adult diabetes cases by 2045.Additionally, the World Obesity Federation anticipates that by 2035, obesity and overweight conditions will affect over 50 percent of global population, potentially resulting in annual economic consequences exceeding $4 trillion.","Lars Fruergaard Jorgensen will step down as CEO of Danish pharmaceutical giant Novo Nordisk. He will remain in his role temporarily to ""support a smooth transition to new leadership"" The decision comes as the company grapples with a sharp decline in its stock price- down more than 50% since June 2024.","https://static.toiimg.com/thumb/msid-121216421,imgsize-820173,width-400,resizemode-4/121216421.jpg"
India's forex reserves rise by $4.55 billion to $690.61 billion this week on surge in gold holdings,https://timesofindia.indiatimes.com/business/india-business/indias-forex-reserves-rise-by-4-55-billion-to-690-61-billion-on-surge-in-gold-holdings/articleshow/121215638.cms,"India’s foreign exchange reserves rose by $4.553 billion to $690.617 billion for the week ended May 9, driven primarily by a significant increase in gold assets, according to data released by the Reserve Bank of India (RBI) on Friday.This marks a reversal from the previous reporting week, when reserves had declined by $2.065 billion to $686.064 billion. The reserves had reached a record high of $704.885 billion at the end of September 2024, newas agency PTI reported.During the week under review, foreign currency assets (FCAs)—the largest component of the forex reserves—registered a modest rise of $196 million, reaching $581.373 billion. The FCAs, expressed in dollar terms, reflect the impact of currency movements such as the appreciation or depreciation of non-US currencies like the euro, pound, and yen held in the reserves.A major contributor to the overall increase was a sharp uptick in gold reserves, which surged by $4.518 billion to $86.337 billion, as per RBI data.Meanwhile, Special Drawing Rights (SDRs) declined by $26 million, standing at $18.532 billion. India's reserve position with the IMF also saw a decrease of $134 million, settling at $4.374 billion during the reporting week.These foreign exchange reserves, maintained by the country's central bank, are primarily held in major reserve currencies such as the US dollar, with smaller allocations in the euro, Japanese yen, and British pound sterling. The central bank actively manages liquidity in the currency markets by selling US dollars during periods of rupee weakness and accumulating reserves when the rupee strengthens.","India's foreign exchange reserves rose by $4.553 billion to $690.617 billion for the week ended May 9. This marks a reversal from the previous reporting week, when reserves had declined by $2.065 billion. The reserves had reached a record high of $704.885 billion at the end of September 2024. A major contributor to the overall increase was a sharp uptick in gold reserves.","https://static.toiimg.com/thumb/msid-121215688,imgsize-946237,width-400,resizemode-4/121215688.jpg"
CAIT announces trade boycott of Turkey and Azerbaijan over support to Pakistan,https://timesofindia.indiatimes.com/business/india-business/cait-announces-trade-boycott-of-turkey-and-azerbaijan-over-support-to-pakistan/articleshow/121218275.cms,"Turkey Gets Bashed From Western Military Bigwig Over Pak Stunt, Backs India

The Confederation of All India Traders (CAIT) on Friday declared a nationwide boycott of all trade and commercial relations with Turkey and Azerbaijan, citing their recent expressions of support for Pakistan following India’s Operation Sindoor.As part of the move, CAIT stated that traders across the country will cease imports from the two countries and that Indian exporters, importers, and business delegations will be discouraged from engaging with any companies or institutions based in Turkey or Azerbaijan, as reported PTI.The decision was taken during a National Conference of Trade Leaders convened by CAIT in New Delhi, with participation from trade representatives across 24 states.In addition, CAIT announced that the Indian business community will boycott Indian films shot in Turkey and Azerbaijan and warned corporate entities against conducting product promotions or ad shoots in either nation.The traders’ body said a memorandum will be submitted to the Ministry of Commerce and Industry and the Ministry of External Affairs, urging a policy-level review of all commercial ties with both countries.""The resolution comes in response to the recent stand taken by Turkey and Azerbaijan in open support of Pakistan, at a time when India is facing a sensitive and critical national security situation.The collective Indian trading community views this as a betrayal, particularly considering the humanitarian and diplomatic support extended to both countries in the past by India and especially by Prime Minister Narendra Modi, during their respective crises,"" CAIT said in a statement.","The Confederation of All India Traders (CAIT) on Friday declared a nationwide boycott of all trade and commercial relations with Turkey and Azerbaijan. The decision was taken during a National Conference of Trade Leaders convened by CAIT in New Delhi, with participation from trade representatives across 24 states.","https://static.toiimg.com/thumb/msid-121218305,imgsize-1093320,width-400,resizemode-4/121218305.jpg"
"Blow to Donald Trump's narrative? Moody's strips US government of gold-standard Aaa credit rating, cuts it to Aa1",https://timesofindia.indiatimes.com/business/international-business/blow-to-donald-trumps-narrative-moodys-strips-us-government-of-gold-standard-aaa-credit-rating-cuts-it-to-aa1/articleshow/121226802.cms,Moody's Ratings has lowered the United States government's credit rating. This is due to concerns about increasing government debt. The downgrade creates problems for President Trump.,"Moody's Ratings has lowered the U.S. government's credit rating. This is due to concerns about increasing government debt. The downgrade creates problems for President Trump, who has been criticized for his handling of the country's finances.","https://static.toiimg.com/thumb/msid-121226891,imgsize-41414,width-400,resizemode-4/121226891.jpg"
‘A good teacher will never leave students halfway…’: Byju's founder Raveendran on why he didn’t agree to shut down businesses,https://timesofindia.indiatimes.com/business/india-business/a-good-teacher-will-never-leave-students-halfway-byjus-founder-raveendran-on-why-he-didnt-agree-to-shut-down-businesses/articleshow/121236402.cms,"CEO Byju Raveendran in interview with ANI

Read more:

NEW DELHI: In his first extensive pubsince Byju's came under intense scrutiny, founder and CEO Byju Raveendran has laid out a renewed vision for the embattled ed-tech company- “Byju's 3.0”- with a sharp focus on returning to its roots: empowering teachers, prioritizing students as he explained on why he won't walk away from the business.“A good teacher will never leave students halfway,” he said in an interview with ANI., explaining why he resisted pressure to shut down operations when the company was facing its lowest point. “The teacher in me stood up, and we didn’t shut down the businesses. We had to complete the course.”Further referencing the legal troubles, Raveendran said, “We don’t belong in courtrooms, we belong in classrooms . That’s where we belong."" “And these classrooms, being based out of India, are our biggest advantage. It's a country where there is so much respect for teachers, so much respect for learning.”Once valued at $22 billion, Byju's has seenlegal troubles, funding issues, and investor disputes. A major flashpoint is the lawsuit involving Byju's Alpha, its US-based financing arm, which has accused Raveendran, his wife and co-founder Divya Gokulnath , and former executive Anita Kishore of diverting $533 million in loan funds.Raveendran denied the charges, calling them a conspiracy by Glas Trust, the lender’s trustee. “They are clearly telling there is no fraud, but they are trying to make it look like there is... The goal is to create a narrative that suits their interests.” He also claimed Glas is under investigation in India for bribery and FCPA violations.Byju’s had also failed to secure $700 million in committed funding- something Raveendran attributes to global economic shocks. “There was no litigation. We didn’t go and litigate those investors who backed out. And from then onwards, it’s almost now three years, we have been struggling for liquidity,” he said.Raveendran acknowledged mistakes during the company’s aggressive expansion, especially during the pandemic. “When we tried expanding from India to the whole world, we made some business mistakes . Maybe we could have taken it a little bit slowly,” he said, attributing the push to investor pressure. “We have 160 world-class investors. All of them–this was the mandate: grow, grow, grow and change the way kids learn.”Alleging that some US-based lenders and hedge funds sought to exploit the situation, Raveendran added, “I’m not blaming all our investors. But there are a few rotten apples... a couple of US-based lenders. They've made more money than anyone could have imagined from Byju's.”He also reflected on investor pressure to shut down operations amid mounting losses but said he refused to walk away. “Suddenly when all investors who were asking us grow, grow, grow, overnight they told that markets are changing, now cut and shut down businesses. I didn't agree for that. The teacher in me stood up and we didn't shut down the businesses. We had to complete the course,” he said.Raveendran also claimedthat teaching has always been a core passion for him and his wife. “I see that even today. My 78-year-old father, when any student asks him something then I can see his eyes lighting up. And that's true for me and for Divya. Teaching is one of the most satisfying jobs and that's where it's an unfinished dream for us.”Speaking about financial decisions that impacted the company, Raveendran admitted, “That was the only mistake. We shouldn’t have taken that term loan when we had enough equity options,"" he said referring to $1 billion loan in 2021.""We're not giving up. Byju's 3.0 will stay true to our original mission,"" he said and emphasised a more sustainable approach saying. ""I'm stubborn when it comes to the mission. It's going to be the same. How do we make it easy and interesting for students? How can we use AI not to replace teachers but to enable teachers to become better teachers,"" he remarked.Reflecting on the company’s journey, he said, “We built this company from the ground up, from 0 to 20 billion, from a handful of students to hundreds of millions. That is something nobody can take away from us.”“Why shouldn't I fight to protect what I've built over the last 20 years, what we've built together with 85,000 employees? When we make a comeback, it will be on the same mission- but we will be more flexible in how we operate. We've learned a lot of lessons along the way,"" he added.He also clarified the intent behind his commitment. “I never saw the money come. I never saw it go. We invested everything we had in one mission- Byju's. We've invested only in one place in only one mission. We have no other investments. My entire investment is in Byju's"".His wife Gokulnath, too, addressed speculation around the family’s lifestyle and wealth. “If I have a circle of 10 people, Byju has a circle of 5. We don't go out, we don't party, we don't network. For us, it's always been about the company and our family,” she said. “We don't own any luxury cars. We don't own any luxury homes… It's always been about what we can do for our country.”","CEO Byju Raveendran has laid out a renewed vision for the embattled ed-tech company- “Byju's 3.0” “We don’t belong in courtrooms, we belong in classrooms. That’s where we belong,"" he said. He also reflected on investor pressure to shut down operations amid mounting losses.","https://static.toiimg.com/thumb/msid-121238526,imgsize-566129,width-400,resizemode-4/121238526.jpg"
New Foxconn unit in India to begin shipping iPhones soon amidst Donald Trump’s call for Apple to shift production to US,https://timesofindia.indiatimes.com/business/india-business/new-foxconn-unit-in-india-to-begin-shipping-iphones-soon-amidst-donald-trumps-call-for-apple-to-shift-production-to-us/articleshow/121238007.cms,"Foxconn is poised to begin iPhone shipments from its Karnataka facility in June, aiming to make it their second-largest iPhone manufacturing hub after China. Despite pressure from Donald Trump to manufacture in the US, Apple seems to be proceeding with its India expansion plans.","Foxconn is poised to begin iPhone shipments from its Karnataka facility in June. The move will make it their second-largest iPhone manufacturing hub after China. Despite pressure from Donald Trump to manufacture in the US, Apple seems to be proceeding with its India expansion plans.","https://static.toiimg.com/thumb/msid-121238060,imgsize-68796,width-400,resizemode-4/121238060.jpg"
"Sebi resolves 4,239 investor complaints via SCORES portal in April",https://timesofindia.indiatimes.com/business/india-business/sebi-resolves-4239-investor-complaints-via-scores-portal-in-april/articleshow/121240020.cms,"The Securities and Exchange Board of India (Sebi) resolved a total of 4,239 investor complaints through its online grievance redressal platform, SCORES, in the month of April, the market regulator said in a public notice on Friday.During the month, Sebi received 4,341 new complaints. As a result, the total number of unresolved complaints stood at 4,263 at the end of April, up slightly from 4,161 complaints pending as of March 31, PTI reported.The regulator also reported that the average time taken by listed companies and registered intermediaries to submit Action Taken Reports (ATR) during April was eight days. For complaints under First Level Review, the average resolution time was recorded at four days.SCORES, or the Sebi Complaint Redressal System, is an online platform that enables investors to file and track complaints against listed entities and Sebi-registered market intermediaries.As per the upgraded SCORES 2.0 framework, complaints are automatically directed to the concerned entities, which are mandated to respond with an ATR within 21 days. If the investor is dissatisfied with the response, they may seek a First Level Review within 15 days.During this review period, complaints remain classified as pending, even if an ATR has already been submitted.In cases where the grievance remains unresolved following the First Level Review, investors have the option to escalate the matter to Sebi for a Second Level Review. The regulator also noted that complaints may be closed if the investor opts for resolution through the Online Dispute Resolution (ODR) mechanism.","Sebi resolved a total of 4,239 investor complaints through its online grievance redressal platform, SCORES, in the month of April. During the month, Sebi received 4,341 new complaints. As a result, the total number of unresolved complaints stood at 4,263 at the end of April, up slightly from 4,161 complaints pending as of March 31.","https://static.toiimg.com/thumb/msid-121240051,imgsize-639067,width-400,resizemode-4/121240051.jpg"
"Gold prices undergoing short-term correction, prices in $3,050–$3,250 per ounce range in Q2: Report",https://timesofindia.indiatimes.com/business/india-business/gold-prices-undergoing-short-term-correction-prices-in-30503250-per-ounce-range-in-q2-report/articleshow/121239172.cms,"Gold prices to see market correction in short term (AI-generated image)

Gold prices are expected to fluctuate between $3,050 and $3,250 per ounce in the second quarter of 2025, according to a report by ICICI Bank Global Markets , while suggesting a short-term correction of declining prices.After rising nearly 25 per cent during January to April 2025, gold prices have declined around 4 per cent over the past fortnight. The pullback reflects easing concerns over global trade conflicts and reduced safe-haven demand, following the 90-day truce between the US and China.Data from the World Gold Council (WGC) highlights strong investment demand in the first quarter of 2025, with a 170 per cent year-on-year increase. This surge was largely driven by investor uncertainty surrounding the Trump administration’s policies and ongoing trade disputes. However, improving diplomatic ties have since tempered market concerns, contributing to the recent price moderation.The report also notes that the slowdown in central bank gold purchases appears to be temporary. Meanwhile, elevated prices have subdued jewellery demand, a trend likely to persist in the near term.“We would not rule out the prospect of a mild correction setting in place in the near term, particularly if the US is able to move forward with making trade deals with the rest of the world,” the report stated as quoted by news agency ANI.In the Indian market, MCX gold prices stood at Rs 92,480 per 10 grams on Saturday. Domestic prices have remained steady, mirroring global weakness and benefiting slightly from the appreciation of the Indian rupee against the US dollar.Gold imports have also moderated, with April imports at USD 3.1 billion compared to USD 4.5 billion in March. This decline aligns with reduced jewellery demand due to higher prices.Going forward, ICICI Bank expects Indian gold prices to maintain an upward trajectory, ranging between Rs 92,500 and Rs 94,500 per 10 grams in the second quarter of 2025, with potential to reach Rs 96,000 to Rs 98,000 per 10 grams in the latter half of the year.","Gold prices are expected to fluctuate between $3,050 and $3.250 per ounce in the second quarter of 2025. ICICI Bank Global Markets suggests a short-term correction of declining prices. In the Indian market, MCX gold prices stood at Rs 92,480 per 10 grams on Saturday.","https://static.toiimg.com/thumb/msid-121239193,imgsize-632689,width-400,resizemode-4/121239193.jpg"
