Article Title,Article Link,Article Text,Article Summary,Article Image
Shubman Gill already 'Captain Fantastic' for Gujarat Titans,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/shubman-gill-already-captain-fantastic-for-gujarat-titans/articleshow/121244434.cms,"Image credit: BCCI/IPL

Go Beyond The Boundary with our YouTube channel. SUBSCRIBE NOW!

IPL 2025: The unsung heroes of India's T20 league

Foreign players happy with GT ‘communication’

Virat Kohli retires from Test cricket after 14 years

Break gives Capitals a breather

NEW DELHI: Shubman Gill ’s cheerful demeanour can be infectious. Before a drizzle interrupted training at the Ferozeshah Kotla on Saturday evening, Gill gathered his Gujarat Titans teammates and indulged in a fun warm-up session of football on the eve of their match against Delhi Capitals . His shrill voice and teenage levels of enthusiasm aside, it was apparent this was an emerging leader who exercised authority over the younger batch of players.Gill, at just 25, is at a defining stage of his career. The buzz in Indian cricket suggests he is seen as a long-term captaincy option and the promotion may happen as soon as next month, in the five-Test series in England. That he has come to Delhi with a team that has one foot in the IPL playoffs is a good point of reference to assess his leadership qualities.“He’s been fantastic with the way he’s been around with the group. I don’t need to mention how well he is batting right now and the way he is handling the situation. He has been scoring a lot of runs and managing the team really well,” Titans assistant coach Parthiv Patel said on Saturday.“He’s been very proactive on the field and off it. In fact, he plays an important role off the field. He spends a lot of time with the young players. I’ve said this before too. You can see actually Shubman Gill the captain in the dressing room. That’s what you want in a leader,” Patel said before adding. “Going forward, I can’t comment on whatever the talks (in the India camp) are, but Shubman Gill as Gujarat Titans captain has been fantastic.”Besides the captaincy talk, Gill the batter has been impeccable in white-ball cricket over the last three months. The rich vein of form notwithstanding, Gill barely misses a training session. On Saturday evening, he went through a long and rigorous nets session even as Delhi Capitals kept switching batters in the adjacent nets. There were no funky shots. He presented the full face of the bat to every ball and concentrated on timing, looking to hit mostly down the ground. He seemed in absolute control.Patel also said the GT management didn’t have any problems getting all their overseas players back, since the there was clear communication with the players.“I can tell you that the players were very happy with the way we dealt with the situation. We have been very transparent and they were happy with the way we communicated the situation with them. That’s why all of them are back,” Patel said.While Titans will look to seal their playoff spot on Sunday, Capitals will look to resurrect their campaign after it hit free fall before the tournament was halted last week. Capitals allrounder Vipraj Nigam said the team was looking at a fresh start. “We started the tournament well. When we reassembled, we decided we will treat this game as we did back when we started the tournament,” Vipraj said.","Shubman Gill is at a defining stage of his career. The buzz in Indian cricket suggests he is seen as a long-term captaincy option. The promotion may happen as soon as next month, in the five-Test series in England.","https://static.toiimg.com/thumb/msid-121244435,imgsize-43388,width-400,resizemode-4/Shubman-1805-BCCI.jpg"
Virat Kohli's T20 record in jeopardy; KL Rahul set to rewrite history,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/kl-rahul-set-to-break-virat-kohlis-massive-t20-record/articleshow/121243635.cms,"KL Rahul and Virat Kohli (BCCI/IPL Photo)

Go Beyond The Boundary with our YouTube channel. SUBSCRIBE NOW!

IPL 2025: The unsung heroes of India's T20 league

Virat Kohli retires from Test cricket after 14 years

NEW DELHI: Delhi Capitals are gearing up to take on Gujarat Titans in their IPL 2025 clash at the Arun Jaitley Stadium in Delhi, and all eyes will be on star wicketkeeper-batter KL Rahul , who stands on the brink of a historic milestone. As reported by TimesofIndia.com , Delhi Capitals are considering a tweak in their batting order for the final three league-stage matches, with the experienced KL Rahul likely to return to the top as an opener for the Axar Patel-led side.Currently placed fifth on the points table with 13 points from 11 matches, DC are keen to solidify their top order, and promoting KL Rahul is being viewed as a key strategic move.KL Rahul is just 33 runs away from breaking an elite record held by batting legend Virat Kohli . If he manages to score those runs against Gujarat Titans on Sunday, he will become the fastest Indian to reach 8000 T20 runs, achieving the feat in just his 214th innings—surpassing Kohli’s record of 243 innings.The milestone will also make him the second-fastest overall in T20 history, ahead of Pakistan’s Babar Azam, who reached the mark in 218 innings.So far this season, KL Rahul has opened just once, batted at No.3 twice, and featured at No.4 in seven games—a role assigned to him before the season began.While he has produced steady performances in the middle order, the DC think tank is now inclined to use his experience at the top during the powerplay overs.However, Gujarat Titans could look to crash KL Rahul’s party by unleashing their ace spinner Rashid Khan.The Afghan star has had the better of KL Rahul in T20 battles so far—conceding just 40 runs off 47 balls while dismissing him three times.With a playoff spot at stake and a historic record within reach, Sunday’s clash promises high stakes for both KL Rahul and the Capitals.","KL Rahul is just 33 runs away from breaking an elite record held by batting legend Virat Kohli. If he manages to score those runs against Gujarat Titans on Sunday, he will become the fastest Indian to reach 8000 T20 runs. Delhi Capitals are considering a tweak in their batting order for the final three league-stage matches.","https://static.toiimg.com/thumb/msid-121243657,imgsize-51344,width-400,resizemode-4/KL-Rahul-Virat-1805-IPL.jpg"
'CSK in jail for two years ... ': Ex-cricketer slams fans for mocking MS Dhoni and five-time champions,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/csk-in-jail-for-two-years-ex-cricketer-slams-fans-for-mocking-ms-dhoni-and-five-time-champions/articleshow/121243309.cms,"MS Dhoni (BCCI/IPL Photo)

Go Beyond The Boundary with our YouTube channel. SUBSCRIBE NOW!

IPL 2025: The unsung heroes of India's T20 league

Bombay Sport Exchange Ep 5: Shane Watson on how IPL gave him a lifeline & his tribute to Phil Hughes

NEW DELHI: Nothing seems to be going right for Chennai Super Kings over the past two seasons. The five-time IPL champions missed out on a playoff spot in 2024 and endured another disappointing campaign in IPL 2025 . They were, in fact, the first team to be knocked out of the playoff race this season. Former CSK player Robin Uthappa acknowledged the team’s underwhelming performances but didn’t hold back in criticising fans who took their mockery of the MS Dhoni-led side to extreme levels.Matches between CSK and RCB have always been high-voltage affairs, often bringing out the worst in fans on both sides. The marquee clash has repeatedly seen heated exchanges in the stands, with supporters hurling offensive jibes at each other.This season too, before the IPL was suspended, RCB edged out CSK in a thrilling encounter to keep their playoff hopes alive.Ahead of that game, some RCB fans were spotted selling ‘CSK jail’ jerseys—an attempt to taunt the Chennai-based franchise over their two-year suspension from the IPL in 2016 and 2017.However, Uthappa, who has donned the jersey of both franchises during his IPL career, was unimpressed with the gesture. He criticised the actions of some RCB fans who held up white T-shirts with black stripes to mock CSK supporters.""It was pretty intense. Outside the stadium, they were mocking the team, the players of the team when the bus was leaving, that was one thing that I saw, which I thought was in bad taste. The other one that I saw were the fans fighting with each other. I saw women being heckled, which felt unsavory, to be very honest. We saw that even in Chennai last year, again, uncalled for. It's not on whatsoever,"" said Uthappa on his YouTube channel.""It has gotten pretty intense. They are holding up jerseys, white T-shirts marked with black lines, stating the two years that CSK were banned for. They have kind of written MS' number on it, and Thala under it, depicting that they were in jail for two years, or whatever. It's getting a little beyond sport which concerns me. Because at the end of the day, this is a sport,"" he added.RCB took a significant step towards securing an IPL playoff spot, while defending champions Kolkata Knight Riders (KKR) were eliminated from contention after persistent rain washed out their clash on Saturday, forcing both teams to share points.With 17 points from 12 matches, RCB now sit atop the points table, ahead of second-placed Gujarat Titans (16 points). A win in either of their remaining two fixtures will be enough to confirm their place in the playoffs.RCB are set to host the already-eliminated Sunrisers Hyderabad on May 23, followed by an away game against Lucknow Super Giants on May 27.",Chennai Super Kings were knocked out of the IPL playoff race this season. RCB fans were spotted selling 'CSK jail' jerseys ahead of their clash with CSK. Robin Uthappa has criticised the actions of some RCB supporters.,"https://static.toiimg.com/thumb/msid-121243322,imgsize-39780,width-400,resizemode-4/MS-Dhoni-1805-IPL.jpg"
'Virat Kohli deserves Bharat Ratna': Star cricketer's explosive statement sparks debate,https://timesofindia.indiatimes.com/sports/cricket/news/virat-kohli-deserves-bharat-ratna-star-cricketers-explosive-statement-sparks-debate/articleshow/121244082.cms,"Virat Kohli (Image credit: X)

Go Beyond The Boundary with our YouTube channel. SUBSCRIBE NOW!

IPL 2025: The unsung heroes of India's T20 league

Virat Kohli retires from Test cricket after 14 years

NEW DELHI: In the history of Indian sports, only one sportsperson has been honoured with the Bharat Ratna — and that is Sachin Tendulkar . The legendary batter was recommended for the award by the central government in February 2014, and then-President Pranab Mukherjee conferred the honour upon him. No athlete before or since has received this prestigious civilian award.However, former India cricketer Suresh Raina has now called for Virat Kohli to be conferred with the Bharat Ratna, recognising his immense contributions to Indian cricket.""Virat Kohli ne jitni upalabdhiyan haasil ki hain, Bharat aur Bharatiya cricket ke liye unhone jo bhi kiya hai, uske liye unhein Bharat Ratna se sammaanit kiya jana chahiye. Bharat sarkar ko unhein Bharat Ratna award dena chahiye [The number of achievements Virat Kohli has accomplished, and whatever he has done for India and Indian cricket, for that he should be honoured with the Bharat Ratna. The Government of India should give him the Bharat Ratna award],"" Raina said during a show on Star Sports.Kohli recently announced his retirement from Test cricket, putting an end to the speculation around his future in the longest format.The 36-year-old featured in 123 Test matches for India, scoring 9230 runs, including 30 centuries, at an average of 46.85. He will now only play in ODIs, having stepped away from T20 Internationals last year.""As I step away from this format, it's not easy - but it feels right. I've given it everything I had, and it's given me back so much more than I could've hoped for,"" Kohli shared on his Instagram page.""I'm walking away with a heart full of gratitude - for the game, for the people I shared the field with, and for every single person who made me feel seen along the way,"" he added.His exit marks another major retirement in Indian Test cricket, following Ravichandran Ashwin (in December) and Rohit Sharma (last week), who also bid farewell to the format.","Suresh Raina calls for Virat Kohli to be honoured with the Bharat Ratna. Kohli recently announced his retirement from Test cricket. The 36-year-old scored 9230 runs, including 30 centuries, at an average of 46.85.","https://static.toiimg.com/thumb/msid-121244077,imgsize-45266,width-400,resizemode-4/Virat-1805-X.jpg"
"'Asli fans MS Dhoni ke hain, baaki sab paid': Harbhajan Singh's shocking statement",https://timesofindia.indiatimes.com/sports/cricket/news/asli-fans-ms-dhoni-ke-hain-baaki-sab-paid-harbhajan-singhs-shocking-statement/articleshow/121244282.cms,"Image credit: BCCI/IPL

Go Beyond The Boundary with our YouTube channel. SUBSCRIBE NOW!

IPL 2025: The unsung heroes of India's T20 league

NEW DELHI: MS Dhoni is more than just a cricketer—he is an emotion for millions of fans across India, particularly in Chennai. Revered as Thala by Chennai Super Kings (CSK) supporters, Dhoni commands an enormous fan following. Whenever he walks out to bat, the crowd erupts in thunderous applause, and the sea of yellow in the stands becomes a spectacle. The sound decibel often shoots up as fans lose control just to catch a glimpse of their beloved Thala.Whether CSK are playing at home in Chennai or away, Dhoni’s presence alone guarantees full stadiums and electrifying atmospheres. His composed nature, exceptional leadership, and unmatched finishing ability have earned him deep respect and unwavering support from fans.Former India spinner Harbhajan Singh summed up the devotion perfectly when he said, ""If any cricketer has real fans, it’s Dhoni. The rest are paid.""His remark highlights the genuine affection Dhoni commands from his supporters.""Kitna bacha hua hai aur jab tak dum hai khelo bhai. Meri team hoti to shayad main kuch aur decision leta,"" Harbhajan said on JioStar.""Aur seedhi si baat hai fan to chahenge kyunki unke fan jo hai. Mujhe lagta hai ki sabse zyada fan agar asal wale fan jo hai wo unke hi hai (CSK). Baaki to ye bane banaye hai jo aajkal social media aadha to paid hi chalta hai par ye inke fan jo hai wo asali hai. Inke jo fan hai wo sahi mein fan hai. Baaki yahan wahan jo aap number dekhte ho wo chhodiye number unke upar kabhi baithenge to charcha karenge,"" he added.""MS Dhoni iss baar dekhein to accha khele hain, theek thaak khele,"" the former spinner further remarked.Meanwhile, things haven’t gone CSK’s way over the past two seasons.The five-time IPL champions failed to reach the playoffs in 2024 and endured another underwhelming campaign in IPL 2025 .In fact, they became the first team to be eliminated from playoff contention this season.","MS Dhoni is an emotion for millions of fans across India, particularly in Chennai. Revered as Thala by Chennai Super Kings supporters, Dhoni commands an enormous fan following. Former India spinner Harbhajan Singh summed up the devotion perfectly when he said, ""If any cricketer has real fans, it’s Dhoni. The rest are paid.""","https://static.toiimg.com/thumb/msid-121244284,imgsize-123052,width-400,resizemode-4/MS-Dhoni2-1805-IPL.jpg"
Rain washes out IPL 2025 restart; KKR knocked out of playoff race,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/rain-washes-out-ipl-2025-restart-kkr-knocked-out-of-playoff-race/articleshow/121239889.cms,"(IPL Photo)

Go Beyond The Boundary with our YouTube channel.

Poll How do you feel about the rain affecting the IPL match between RCB and KKR? Not disappointed at all Neutral Somewhat disappointed Very disappointed

IPL 2025: The unsung heroes of India's T20 league

NEW DELHI: Rain played spoilsport on Saturday, halting the much-anticipated restart of the Indian Premier League 2025. The high-profile clash between Royal Challengers Bengaluru (RCB) and defending champions Kolkata Knight Riders (KKR) at Bengaluru’s M. Chinnaswamy Stadium was abandoned without a ball being bowled due to persistent rain The washout delivered a fatal blow to KKR’s playoff hopes. With only 12 points from 13 games and just one match left, the two-time champions were officially eliminated from contention. They now join Chennai Super Kings, Rajasthan Royals, and Sunrisers Hyderabad on the list of teams knocked out of the playoff race.RCB, on the other hand, benefitted from the shared points. With the one point earned, they climbed to the top of the 10-team table with 17 points from 12 games — virtually securing a spot in the playoffs. A loss for either Punjab Kings or Delhi Capitals on Sunday would seal RCB’s qualification.The atmosphere in Bengaluru, however, was one of disappointment, especially for fans who had gathered in large numbers to pay tribute to Virat Kohli following his recent Test retirement. Many turned up in white jerseys bearing Kohli’s iconic No. 18, hoping to catch a glimpse of the star batter. Unfortunately, the weather had other plans.The IPL had resumed after a 10-day pause prompted by geopolitical tensions between India and Pakistan. A ceasefire allowed the tournament to continue, but the revised schedule has posed logistical challenges. Some overseas stars may miss remaining matches due to national duties.With the playoff picture still evolving, Sunday’s fixtures could prove crucial. Gujarat Titans face Delhi Capitals, while Punjab Kings take on Rajasthan Royals. The playoffs begin on May 29, with the final slated for June 3.",IPL match between Royal Challengers Bengaluru and Kolkata Knight Riders abandoned due to rain. The washout delivered a fatal blow to KKR’s playoff hopes. The IPL had resumed after a 10-day pause prompted by geopolitical tensions between India and Pakistan.,"https://static.toiimg.com/thumb/msid-121239970,imgsize-31564,width-400,resizemode-4/RCB-vs-KKR.jpg"
Gujarat Titans look to seal playoff berth as Delhi Capitals seek fresh start after IPL suspension,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/gujarat-titans-look-to-seal-playoff-berth-as-delhi-capitals-seek-fresh-start-after-ipl-suspension/articleshow/121237826.cms,"Gujarat Titans and Delhi Capitals players (Pic credit: IPL)

Go Beyond The Boundary with our YouTube channel.

Poll Which team do you think will win the match on May 18? Match will be a draw Rain will affect the match Gujarat Titans Delhi Capitals

IPL 2025: The unsung heroes of India's T20 league

Bombay Sport Exchange Ep 5: Shane Watson on how IPL gave him a lifeline & his tribute to Phil Hughes

Delhi Capitals (DC) and Gujarat Titans (GT) will reconvene at the Arun Jaitley Stadium in New Delhi on Sunday (May 18) with the objective of picking up where they left off when the IPL came to an abrupt halt. That would apply more to GT than the hosts DC with the Shubman Gill-led franchise top of the standings on 16 points. A win would confirm their spot in the playoffs and condemn DC to their third loss in four matches with no result in between.For all that to happen, though, the rain has to stay clear, which has been a daily occurrence over the past few days. Things do not look promising for Sunday either with bouts of rain expected to curtail the contest.If it is indeed a stop-start contest, it would go in perfect harmony with the IPL this time around. On May 8, the T20 league was halted, practically in the middle of a match (Punjab Kings vs Delhi Capitals in Dharamsala) only to be suspended for a week.Following the ceasefire between India and Pakistan, IPL resumes tonight. Things have changed in the aftermath, though. Players have had to pause and resume and quite a few overseas players have not returned.""We are in a situation right now where we would have liked to play games, we had the momentum. But the situation was such that you can't do anything about it. You have to just accept it and move on from there,"" said Gujarat Titans assistant coach Parthiv Patel on Saturday.""We feel that these are the things which are not in your control. So, you don't want to think about it. At the moment, we are playing good cricket and we want to carry on with that,"" he added.Gujarat Titans, primed to reach the playoffs, are due to be hit significantly by the rescheduled IPL. Jos Buttler and Kagiso Rabada will now be available only till the end of the league stage. Kusal Mendis will replace Buttler from the playoffs.""We all have to accept it and find a way out of it. I can't speak for any other team, which players they are losing or how they are going to cope up with it.""We are not losing too many players. But we are quite okay with whatever the situation is. And we are quite confident that the players who will come in will step up and perform for us,"" said Patel on the overseas players challenge.For DC, who were at the heart of the kerfuffle in Dharamsala, the pause possibly came at a good time. They lost to Royal Challengers Bengaluru and Kolkata Knight Riders and then had a washed out contest with Sunrisers Hyderabad. At the Arun Jaitley Stadium the Axar Patel-led franchise has mustered just one win, in a Super Over, while going down thrice.""This is our home ground. Unfortunately we have lost a couple of matches here but it is a fresh start. We have had a few days off since the IPL was rescheduled. We will pick up the way we started the campaign,"" said Vipraj Nigam.After a cracking start, they have been subdued ever since the loss to MI and are due to bring in a change at the top with KL Rahul expected to open the innings. With 13 points and standing at fifth place, playoffs are still within reach.DC, compared to GT, are more affected by the absence of certain overseas players due to the rescheduling. Mitchell Starc, Jake Fraser-McGurk and Donovan Ferreira will not be available. Mustafizur Rahman has been brought in as the replacement for Fraser-McGurk but only for May 18-24. Tristan Stubbs, meanwhile, is available only until the league stage.""It is very tough to replace someone like Mitchell Starc. We have made one or two team changes, so basically this is like a start to the season. We will try to not feel the impact of those who are not with the squad anymore. We will try as a team with whatever players we have available,"" stated Nigam.The 20-year-old spinner acknowledged the efforts of the Indian Army, the government and the franchise to help get the squad back home amid the pause when things were challenging throughout. Nigam, who has taken nine wickets this season, stated that things were far from normal but is pleased to be back on the cricket field.",Delhi Capitals and Gujarat Titans play each other at the Arun Jaitley Stadium in New Delhi on Sunday (May 18) Rain is expected to curtail the match. The IPL was halted in the middle of a match in Dharamsala on May 8 before being suspended for a week.,"https://static.toiimg.com/thumb/msid-121237988,imgsize-31714,width-400,resizemode-4/DC-vs-GT.jpg"
Virat Kohli in County Cricket? Middlesex hope to lure Indian star for red-ball stint at Lord’s,https://timesofindia.indiatimes.com/sports/cricket/news/virat-kohli-in-county-cricket-middlesex-hope-to-lure-indian-star-for-red-ball-stint-at-lords/articleshow/121239014.cms,"Virat Kohli (Getty Images)

Go Beyond The Boundary with our YouTube channel.

Poll Should Virat Kohli consider playing red-ball cricket in England? Only if it benefits his career. No, he should focus on other formats. Yes, it would be exciting to see him back.

Virat Kohli retires from Test cricket after 14 years

Could Indian cricket legend Virat Kohli return to red-ball cricket in England despite recently announcing his retirement from Test matches? Middlesex certainly hope so. According to a report in The Guardian, the London-based county side is eager to bring Kohli on board for a potential first-class or one-day stint at the iconic Lord’s Cricket Ground .Alan Coleman, Middlesex’s director of cricket, confirmed their interest: “Virat Kohli is the most iconic player of his generation, so of course we are interested in having that conversation.”While Kohli has retired from Test cricket, he has not ruled out playing first-class matches — leaving the door open for a County Championship or One-Day Cup appearance.Middlesex have a track record of attracting global stars, including AB de Villiers in 2019 and Kane Williamson this season. They also benefit from a strong relationship with the MCC, who have reportedly offered to share the cost of bringing Kohli in — a move that helped seal previous marquee signings.The hope is to tempt Kohli with the allure of playing at Lord’s, often referred to as the “home of cricket.” Middlesex return to the venue in September for key Division Two fixtures, including one against Lancashire — potentially setting up a final on-field duel between Kohli and English pace legend James Anderson .Kohli, who owns a home in London, had once signed with Surrey in 2018 before a neck injury scuppered the opportunity. Still, he had a stellar England tour that year.While Kohli remains unavailable for foreign T20 leagues due to his BCCI contract, his fans might yet see him don the whites at a county ground — possibly even alongside Kane Williamson in the Middlesex middle order.",Virat Kohli has retired from Test cricket after 14 years in the game. The Indian has not ruled out playing first-class cricket in England. Middlesex are interested in bringing Kohli to play at Lord's. The London-based county side have a strong relationship with the MCC.,"https://static.toiimg.com/thumb/msid-121239122,imgsize-46026,width-400,resizemode-4/Virat-Kohli.jpg"
Neeraj Chopra issues fiery warning after epic throw: 'I can throw more than 90m',https://timesofindia.indiatimes.com/sports/more-sports/athletics/neeraj-chopra-issues-fiery-warning-after-epic-throw-i-can-throw-more-than-90m/articleshow/121225295.cms,"Neeraj Chopra (Image credit: X)

Go Beyond The Boundary with our YouTube channel. SUBSCRIBE NOW!

IPL 2025: The unsung heroes of India's T20 league

Bombay Sport Exchange Ep 5: Shane Watson on how IPL gave him a lifeline & his tribute to Phil Hughes

NEW DELHI: It was a ""bitter-sweet"" outing for Neeraj Chopra at the Doha Diamond League , where he finally breached the elusive 90m mark but still had to settle for second place. The 27-year-old Indian javelin star, who has battled a persistent groin injury in recent years, looked back in top shape as he hurled the spear to a career-best 90.23m in his third attempt. With that, Chopra became the third Asian and 25th athlete overall to achieve a 90m-plus throw — a prestigious club led by his current coach, Czech legend Jan Zelezny.However, Germany’s Julian Weber had the final say in Doha. He snatched victory with a last-gasp effort of 91.06m, surpassing Chopra’s mark and pushing the Indian Olympic gold medallist to second spot, despite leading until the final round.Having finally crossed the 90m threshold — a mark he had been chasing for five years — Chopra said there’s more to come, especially now that he’s feeling close to fully fit. The focus now shifts to refining his technique with coach Zelezny, under whose guidance Chopra has been training since February, although the partnership officially began in November.""I am very happy with the 90m mark but it's a little bit of a bitter-sweet experience actually. But never mind, I and my coach are still working on some aspects of my throw. We started working together only in February this year. I am still learning things,"" Chopra said after the competition.""I was always feeling something in my groin in the last few years. I did not give my best because of that. This year I feel much better, we will also work on some aspects and so I believe I can throw more than 90m in the upcoming events this year till the World Championships.""The World Championships are scheduled to take place in Tokyo from September 13 to 21.Asked about his next target now that the 90m mark has been ticked off, Chopra said, ""My next goal is just 90m. I believe I am ready to throw farther. It's just the beginning of a long season.""I am very happy that Jan Zelezny is my coach and we worked very hard in South Africa. We are still working on some aspects.""Chopra credited the favourable conditions in Doha for helping him unleash the big throw and shared that Zelezny had predicted a 90m effort even before the competition.""When I was having warm-up throws my coach said today is the day when I can throw 90m. After my 90m throw also, he told me I can throw 2-3m farther.""The wind helps for sure and the weather is a little warm and that helps. It's the first competition of the year, so everyone came with a fresh mindset after a long time and has hunger inside for the throwing part.""I also told Julian (Weber) that we can throw 90m. I am also happy for him. We have tried very hard for 90m for so many years, and so we are happy. It's like a good push between us and in the next competition we will push each other again and will throw farther,"" he added.This wasn't the first time Chopra had finished runner-up after a record throw.""It had happened earlier also. When I threw an NR with over 89m in Turku, I finished second. In Stockholm DL, when I threw 89.94m, I was second again, so also here,"" he said.Meanwhile, Weber, who also breached the 90m mark for the first time, expressed joy over the competition and Chopra’s breakthrough.""I did not know how it happened. I had a very good massage thanks to my physiotherapist. It was fun today. Neeraj threw his first 90m plus and I went past the mark in my last throw and that was just perfect.""I was very happy for him. We have been fighting for the 90m throw for a long time and we both achieved that today. So, it was very special for us.""Weber’s 91.06m effort — the best in the world this season so far — made him the 26th athlete to breach the coveted distance.Two-time world champion and Paris Olympics bronze medallist Anderson Peters of Grenada finished third with a best of 84.65m, registered on his opening attempt.",Neeraj Chopra threw a career-best 90.23m at the Doha Diamond League. The 27-year-old became the third Asian and 25th athlete overall to achieve a 90m-plus throw. Germany’s Julian Weber had the final say with a last-gasp effort of 91.06m.,"https://static.toiimg.com/thumb/msid-121225332,imgsize-48662,width-400,resizemode-4/Neeraj-Chopra-1705-X.jpg"
'Mentally fried': Ravi Shastri drops bombshell on Virat Kohli's Test retirement,https://timesofindia.indiatimes.com/sports/cricket/news/ravi-shastri-drops-bombshell-on-virat-kohlis-test-retirement/articleshow/121202771.cms,"Virat Kohli (ICC Photo)

Go Beyond The Boundary with our YouTube channel. SUBSCRIBE NOW!

Poll Do you think Virat Kohli made the right decision to retire from Test cricket? No, he should have continued. Yes, it was the right time.

Bombay Sport Exchange Ep 5: Shane Watson on how IPL gave him a lifeline & his tribute to Phil Hughes

Virat Kohli retires from Test cricket after 14 years

Bombay Sport Exchange Ep 5: Shane Watson on IPL, India-Australia rivalry | Part 1

Former India head coach Ravi Shastri has admitted that Virat Kohli ’s decision to retire from Test cricket caught him off guard, especially since he felt the star batter had a few more years of red-ball cricket left in him. Kohli, who called time on his Test career on Monday, finished with 123 matches, 9,230 runs at an average of 46.85, including 30 centuries — a glittering resume by any standard.Shastri revealed that he had spoken to Kohli just a week before the announcement and sensed that the decision had already been made.""I did speak to him about it, I think a week before that [his announcement] and his mind was very clear that he'd given us everything. There were no regrets,"" Shastri told The ICC Review.""Virat surprised me because I thought he had at least two-three years of Test match cricket left in him. But then, when you're mentally fried and overcooked, that's what tells your body. You might be physically the fittest guy in the business.""You might be fitter than half the guys in your team, but mentally you're well done, as they say, then it sends a message to the body. You know, that's it,"" he said.Shastri also elaborated on the intense spotlight Kohli operated under and how that played a part in his burnout.""He's got accolades around the globe. He has a bigger following than any other cricketer in the last decade. Whether it's Australia, whether it's South Africa, he just got people to watch the game. There was a love-hate relationship.""They would get angry because he had the ability to get under the skin of the viewers. In the way he celebrated, you know his intensity was such that it was like a rash.""It spread very quickly, not just within the dressing room, but within living rooms as well for people watching cricket. So, he was an infectious personality,"" Shastri added.Kohli captained India to 40 victories in 68 Tests, making him the most successful Indian captain in the format.""If he decided to do something, then he gave his 100%, which is not easy to match. Individually, as a bowler, as a batsman,"" said Shastri, who shared a successful captain-coach partnership with Kohli.""A player does his job, [and] then you sit back. But [with Kohli] when the team goes out, it's as if he has to take all the wickets, he has to take all the catches, he has to make all the decisions on the field.""That much involvement, I would think there's going to be a burnout somewhere if he doesn't take a rest, if he doesn't compartmentalise how much he wants to play across formats, there is bound to be a burnout.""Together, the Kohli-Shastri duo delivered one of Indian cricket's most successful Test phases — from a maiden series win in Australia to back-to-back wins in the West Indies and ending a two-decade-long drought in Sri Lanka.According to Shastri, there is nothing left for Kohli to prove in the game.""At times when you quit the game, you know, and after a month or two months you say, 'I wish I had done this, I wish I had done this,"" he said.""[Kohli] He's done everything. He's captained sides, he's won World Cups, he's won an Under-19 World Cup [2008] himself. I mean, there's nothing for him to achieve,"" he said.","Virat Kohli retired from Test cricket after 14 years on Monday. Kohli captained India to 40 victories in 68 Tests, making him the most successful Indian captain in the format. Former India head coach Ravi Shastri says there is nothing left for Kohli to prove in the game.","https://static.toiimg.com/thumb/msid-121202776,imgsize-119966,width-400,resizemode-4/Virat2-1605-ICC.jpg"
