Article Title,Article Link,Article Text,Article Summary,Article Image
Bomb blast outside California fertility clinic deemed 'act of terrorism’ by FBI: What we know so far,https://timesofindia.indiatimes.com/world/us/bomb-blast-outside-california-fertility-clinic-deemed-act-of-terrorism-by-fbi-what-we-know-so-far/articleshow/121244235.cms,"Bomb blast outside California fertility clinic deemed 'act of terrorism’ by FBI (Picture credit: AP)

Several eyewitness accounts capture aftermath of large explosion near Palm Springs, California





A powerful bomb exploded outside a fertility clinic in Palm Springs, California, on Saturday, killing one person and injuring at least four others in what the FBI has officially declared an act of terrorism.“This is an intentional act of terrorism,” said Akil Davis, the head of the FBI’s Los Angeles field office, during a press briefing near the site. He added, “This is probably one of the largest bombing investigations that we've had in Southern California.”The explosion ripped through downtown Palm Springs around 11 am (local time), blowing out windows across several blocks and collapsing part of the American Reproductive Centers building.Authorities believe the blast originated from a vehicle in or near the clinic’s parking lot. A charred car axle was all that remained at the scene. Davis confirmed the deceased was near the blast but did not release their identity, citing the need to protect the investigation.According to AP, officials believe the person killed may have been the perpetrator.An AK-47-style rifle was also recovered from the site.While the motive remains unclear, Davis said the clinic “was deliberately targeted.” The FBI has not specified whether the act was domestic or international terrorism.Authorities are also investigating whether the explosion was livestreamed.The clinic confirmed that all staff are safe and that its laboratory, which stores embryos and reproductive materials, was not damaged. “Thank God today happened to be a day that we have no patients,” Dr Maher Abdallah, who leads the clinic, was quoted as saying by AP.The force of the blast was immense, scattering debris across a five-lane street and damaging nearby buildings, including a liquor store and a hospital. As per The New York Times, one witness said the car parts were “blown clear across four lanes.”Palm Springs police chief Andy Mills assured residents that the bombing was an isolated incident and there was no ongoing threat. However, as a precaution, Planned Parenthood closed 19 centres across Southern California.US attorney general Pam Bondi condemned the attack in a statement posted online, calling it “unforgivable,” and adding, “The Trump administration understands that women and mothers are the heartbeat of America.”The Center for Reproductive Rights called the bombing “horrific” and demanded stronger protections for clinics, stating that patients must “feel safe.”Investigators from the FBI, ATF and local agencies remain at the scene, collecting evidence in what could become a landmark terrorism case in California.","A powerful bomb exploded outside a fertility clinic in Palm Springs, California, on Saturday, killing one person and injuring at least four others. The FBI has officially declared the bombing an act of terrorism. The clinic confirmed that all staff are safe and that its laboratory, which stores embryos and reproductive materials, was not damaged.","https://static.toiimg.com/thumb/msid-121244491,imgsize-724636,width-400,resizemode-4/121244491.jpg"
200-passenger plane flies without pilot for 10 minutes: What we know about the 2024 incident,https://timesofindia.indiatimes.com/world/rest-of-world/200-passenger-plane-flies-without-pilot-for-10-minutes-what-we-know-about-the-2024-incident/articleshow/121244211.cms,"Representative Image

What exactly happened on that day?

What Lufthansa flight said?







A Lufthansa aircraft flying from Germany to Spain, was operated without a pilot for 10 minutes in 2024, according to German news agency dpa's Saturday report.This frightening incident happened on February 17, 2024, when one of the pilots lost consciousness in the cockpit, and another captain was off using the bathroom alone in the cockpit.The mid-air saga unfolded when the Airbus A321 -- carrying 199 passengers and six crew members -- was en route from Frankfurt, Germany to Seville, Spain.According to the senior pilot, aged 43, whose name was not mentioned in the report, he left his 38-year-old colleague in charge while visiting the toilet, with approximately 30 minutes of journey time left. He observed that his colleague seemed competent and vigilant before departing.Upon returning after approximately eight minutes, the captain discovered he couldn't enter the cockpit despite multiple attempts with the security code. The situation escalated when his intercom call received no response, New York Post reported.In response to the concerning situation, the captain resorted to using an emergency access code.The first officer regained consciousness shortly afterwards.""Before the emergency access code timer expired, the co-pilot opened the flight deck door manually from the inside,"" according to the report, noting the captain promptly resumed control of the aircraft.""As the co-pilot was pale, sweating and moving strangely, the captain called for assistance from the cabin crew. The co-pilot was given first aid by the crew and a doctor, who was traveling as a passenger and diagnosed a possible heart condition.""The first officer later informed officials about his uncertainty regarding the duration of his unconsciousness.“The loss of consciousness was so sudden that he was unable to warn the other crew members of his incapacitation.”Dpa reported that Lufthansa acknowledged the investigation report and confirmed their flight safety department's separate inquiry, though the results remained undisclosed.The aircraft maintained stable flight conditions due to the engaged autopilot, despite inadvertent control inputs from the unconscious co-pilot. The voice recorder documented unusual sounds within the cockpit, indicating a medical emergency, according to dpa.The captain attempted access using the standard door code five times, which activates a cockpit buzzer for co-pilot response, but was unsuccessful. A cabin crew member attempted to reach the co-pilot via the aircraft's internal communication system.Subsequently, the captain entered an emergency access code for autonomous door operation. However, dpa reported that the unwell co-pilot managed to open the door from inside moments before the automatic override would have activated.The captain subsequently diverted the aircraft to Madrid, where medical personnel attended to the co-pilot at a local hospital.","A Lufthansa aircraft flying from Germany to Spain, was operated without a pilot for 10 minutes in 2024. One of the pilots lost consciousness in the cockpit, and another captain was off using the bathroom alone. The Airbus A321 -- carrying 199 passengers and six crew members -- was en route from Frankfurt to Seville.","https://static.toiimg.com/thumb/msid-121244347,imgsize-23248,width-400,resizemode-4/121244347.jpg"
‘Are they tapping us along?’: Marco Rubio on Moscow’s intentions after direct talks between Russia-Ukraine stall,https://timesofindia.indiatimes.com/world/us/are-they-tapping-us-along-marco-rubio-on-moscows-intentions-after-direct-talks-between-russia-ukraine-stall/articleshow/121243361.cms,"File photo: US secretary of state Marco Rubio (Picture credit: AP)

Secretary Rubio says Trump wants summit with Russia's Putin ""as soon as feasible""





US secretary of state Marco Rubio said on Saturday that he remains wary of Russia’s intentions in the Ukraine peace process, warning that Moscow could be “tapping us along” after the first direct negotiations between Russia and Ukraine in three years failed to produce a ceasefire.In an interview with CBS News’ Face the Nation airing Sunday, Rubio confirmed he spoke by phone with Russian foreign minister Sergey Lavrov to get a readout on Friday’s talks in Istanbul.“They were not a complete waste of time,” he said, but added, “Are they tapping us along? Well, that’s what we’re trying to find out.”The Istanbul meeting ended in under two hours without agreement on a ceasefire, though both sides consented to a prisoner exchange involving 1,000 captives each. Russian President Vladimir Putin rejected Ukrainian President Volodymyr Zelenskyy’s offer for a face-to-face meeting in Turkey, instead sending a lower-level delegation.Rubio acknowledged the delicate balance between patience and urgency. “On the one hand, we’re trying to achieve peace and end a very bloody, costly and destructive war… On the other hand, we don’t have time to waste,” he said, stressing that broader global issues also demand attention.He also indicated that progress would likely hinge on a direct Trump-Putin meeting. “The president wants to do it. He wants to do it as soon as feasible,” he said, noting that preparations for such a summit, including the choice of location and timing, had yet to be finalised. Rubio said the Vatican, which has offered to host peace talks, could be a “comfortable” setting for all parties.The remarks come ahead of a high-stakes Monday, when US President Donald Trump is expected to speak with both Putin and Zelenskyy by phone. “Hopefully it will be a productive day, a ceasefire will take place, and this very violent war, a war that should have never happened, will end,” Trump wrote on social media.While Trump has continued to project confidence in his ability to broker peace, recent escalations on the ground raise doubts about any imminent breakthrough. On Saturday, a Russian drone attack on a civilian bus in Ukraine’s Sumy region killed nine people and wounded several others, according to Ukrainian officials. Ukrainian President Zelenskyy condemned the strike as a “deliberate attack on civilians.”Zelenskyy has agreed to Trump’s demand for an unconditional 30-day ceasefire, but Ukrainian officials remain sceptical about the US administration’s shifting approach. “Such inconsistency, illogical steps and lack of strategy undermine US credibility,” said Oleksandr Merezhko, chair of Ukraine’s parliamentary foreign affairs committee, according to the New York Times.Critics argue Trump’s posture risks rewarding Russia’s hardline position while cornering Ukraine into concessions. Mick Ryan, a defence analyst quoted by New York Times, said, “Putin’s primary goal is snuffing out Ukraine’s democracy and culture, denying it agency in its own affairs.”As world leaders gathered in Rome for Pope Leo XIV ’s inaugural Mass, Rubio, attending the ceremony, said the new pope had made a “very generous offer” to host peace talks. In his first blessing, Pope Leo urged all parties to strive for “an authentic, just and lasting peace.”","Secretary Rubio says Trump wants summit with Russia's Putin ""as soon as feasible"" Secretary Rubio confirmed he spoke by phone with Russian foreign minister Sergey Lavrov to get a readout on Friday’s talks in Istanbul. The Istanbul meeting ended in under two hours without agreement on a ceasefire.","https://static.toiimg.com/thumb/msid-121243376,imgsize-1422361,width-400,resizemode-4/121243376.jpg"
Who is Tiffany Slaton? Woman who survived 24 days lost in Sierra Mountains by living on wild leeks and snow,https://timesofindia.indiatimes.com/world/us/who-is-tiffany-slaton-woman-who-survived-24-days-lost-in-sierra-mountains-by-living-on-wild-leeks-and-snow/articleshow/121241792.cms,"(Source: X)





A 28-year-old woman from Georgia who went missing in California's Sierra Nevada mountains has stunned authorities and her family with a survival story described as “movie-worthy,"" reports the New York Times. Tiffany Slaton , a travelling dialysis technician and outdoors lover from Jeffersonville, Georgia, has been found safe after surviving 24 days alone in the snowy mountains of California.Slaton's journey began as a short three-day solo camping trip near Shaver and Huntington Lakes, but later turned into a fight for survival that took her more than 40 miles off track, all the way to Vermilion Valley Resort During her time in the wild, Tiffany faced 13 snowstorms, an avalanche, and a serious fall from a cliff. She lost her tent, her bike, and most of her supplies.The journey started on April 20 and soon became very tough. Slaton took her electric bike and camping gear, including two sleeping bags and a tent. Early on, she fell off a cliff and was unconscious for about two hours. When she woke up, she made a splint for one leg and “popped the other knee back into place,” NBC News reports.She had no signal and her phone’s map didn’t work.She tried calling 911 five times, but none went through. At one point, she even asked her phone where the nearest Starbucks was; it said 18 miles away.Her family reported her missing on April 29, and a large-scale search followed, covering roughly 600 square miles. Local authorities and volunteers collectively travelled over 4,000 miles on foot and by vehicle. A helicopter was also deployed, but no trace of her was found until this week.Slaton stayed alive by eating wild leeks and boiling snow for water. She also made tea each day using pine needles and manzanita. To keep herself calm, she wrote in a journal every day.She finally reached Vermilion Valley Resort, hidden deep in the Sierra mountains and often cut off by snow. The cabin she found was unlocked, and the resort owner keeps it that way in case lost hikers need a place to stay.“I thought I had somehow managed to make it to the North Pole,” Slaton said, describing the moment she saw the cabin. Inside, she found a sleeping bag, which she called “the best sleeping bag I had ever seen.”The next day, just before her 28th birthday, the resort owner came. The roads had only just been cleared. “She pops out, didn’t say a word, just ran up, and all she wanted was a hug,” he said. “That’s when I realised who this was.”“She said, ‘Dad, I’m alive, and I’m sorry,’” her father Bobby was quoted as saying to NBC News. “Those prayers were answered.”Fresno County Sheriff John Zanoni called her tale one “they would make movies about.” His colleague Tony Botti added, “She’s a fighter. She’s not going to give up.”","Tiffany Slaton, 28, from Georgia, went missing in California's Sierra Nevada mountains on April 29. She survived 24 days in the wild, including 13 snowstorms, an avalanche, and a serious fall from a cliff. Slaton stayed alive by eating wild leeks and boiling snow for water. Her story has been described as'movie-worthy'","https://static.toiimg.com/thumb/msid-121241796,imgsize-1192033,width-400,resizemode-4/121241796.jpg"
Permanent ban on traveling in future: US Embassy in India issues fresh warning to visa holders,https://timesofindia.indiatimes.com/world/us/permanent-ban-on-traveling-in-future-us-embassy-in-india-issues-fresh-warning-to-visa-holders/articleshow/121241542.cms,"US Embassy in India issued a stern warning against overstaying in US.





Amid Donld Trump's crackdown on illegal immigrants, the US Embassy in India has released a strong advisory warning Indian citizens that they could face a permanent ban on travelling to the US in future. ""If you remain in the United States beyond your authorized period of stay, you could be deported and could face a permanent ban on traveling to the United States in the future,"" the post read.This is applicable to Indians who are traveling to the Us on their various time-bound visas like work visas, student visas, tourist visas etc which have their own authorized period of stay.Immigration is the most contentious issue of the Donald Trump administration with the president making his intent clear on the very first day in the office in his first executive order. He targeted the Citizensip Clause of the 14th Amendment that granted US citizenship to almost everyone born on American soil. While the executive order is now facing legal hurdles, the administration id deporiting illegal immigrants, arresting them, encouraging them to self-deport.All foreign nations staying the in the US for over 30 days are now required to register with the federal government -- in a new immigration rule change.Two deportation cases involving Indians became very high profile in the last few months. Ranjani Srinivasan,a PhD student at Columbia University, fled to Canada after her visa was revoked for allegedly participating in a pro-Palestine protest, though she said she did not participate in the protest. Ranjani was made an example by the Department of Homeland Security as to how people should deport themselves out of the US to avoid arrest.Georgetown University scholar Badar Khan Suri was arrested for his alleged link with Hamas -- his wife is the daughter of Ahmed Yousef, a former aide of Hamas leader Ismail Haniyeh. He has been released by a court order that said the Trump administration could not prove what national security risk Khan Suri posed.",US Embassy in India issued a stern warning against overstaying in US. This is applicable to Indians who are traveling to the Us on their various time-bound visas. All foreign nations staying the in the US for over 30 days are now required to register with the federal government.,"https://static.toiimg.com/thumb/msid-121241543,imgsize-32798,width-400,resizemode-4/121241543.jpg"
One person killed in explosion outside fertility clinic; police say act was ‘intentional’,https://timesofindia.indiatimes.com/world/us/one-person-killed-in-explosion-outside-fertility-clinic-police-say-act-was-intentional/articleshow/121242923.cms,"AP photo





The FBI says the explosion that damaged a fertility clinic in Palm Springs, California, was an “intentional act of terrorism.”Akil Davis, the head of the FBI’s Los Angeles field office, said Saturday evening that the clinic was deliberately targeted.He declined to elaborate on how authorities have reached a conclusion on a motive.Authorities were still working to confirm the identity of the person who died at the scene. Davis would not directly say whether that person was the suspect but said authorities were not searching for a suspect.Davis also said four people were hurt but provided no additional details on the severity of the injuries.Authorities were also investigating the possibility that the explosion was being livestreamed, Davis said.THIS IS A BREAKING NEWS UPDATE. AP’s earlier story follows below.(AP) — An explosion that heavily damaged a fertility clinic Saturday in the upscale California city of Palm Springs was apparently intentional, local authorities said. One person was found dead, and the FBI said it was sending investigators, including bomb technicians, to the scene.Palm Springs Police Chief Andy Mills said in a statement that the blast “appears to be an intentional act of violence” and that several buildings were damaged, some severely.“There has been one fatality, the person’s identity is not known,” Mills said.The act was being investigated as a possible car explosion, according to two law enforcement officials briefed on the matter who insisted on anonymity to discuss preliminary information from an ongoing investigation. One of the officials told AP that investigators believe the person who died was likely the person who set off the explosion, but they cautioned that the investigation was still in its early stages. Authorities have not disclosed a motive.Attorney General Pam Bondi said federal agents were working to learn more about the explosion, adding, “Let me be clear: the Trump administration understands that women and mothers are the heartbeat of America. Violence against a fertility clinic is unforgivable.”The FBI's Los Angeles field office said via the social platform X that “assets being deployed include investigators, bomb technicians & an evidence response team.” Investigators from the Bureau of Alcohol, Tobacco, Firearms and Explosives were also assisting.The city of Palm Springs said the explosion happened at 11 a.m. and residents were asked to avoid the area around North Indian Canyon Drive near East Tachevah Drive.Dr. Maher Abdallah, who runs the American Reproductive Centers fertility clinic, confirmed that his facility was damaged. He told AP in a phone interview that all staffers were safe and accounted for. The explosion damaged the practice’s office space, where it conducts consultations with patients, but the IVF lab and the stored embryos were spared.“I really have no clue what happened,” Abdallah said. “Thank God today happened to be a day that we have no patients.”Aerial video showed a burned-out car in a parking lot behind the building that housed the fertility clinic’s office space. The blast caved in the roof and blew a wide debris field across a sidewalk and four lanes of the street on the other side of the structure.Rhino Williams, 47, said he was chatting with customers at a restaurant he helps manage inside the Skylark Hotel just over a block away when he heard a huge boom. Everything rattled, Williams said, and he sprinted to the scene to see if anyone was in need of help.Williams saw a large dark gray plume of smoke and covered his nose with his shirt as he smelled burning plastic and rubber. He said he saw a building had “blown out” into the street, with bricks and debris scattered everywhere, and he spotted a car’s front axle on fire in the parking lot.He said it was the only car in the lot that he saw. He ran into the building, calling out and peering behind the counter to see if anyone was inside. He did not hear a response and did not see anyone behind the counter.Williams then ran around to check on other buildings. Multiple windows of the neighboring liquor store were also blown out, he said. Once he saw authorities arrive, he headed back to the hotel.Nima Tabrizi, 37, of Santa Monica, said he was inside a cannabis dispensary nearby when he felt a massive explosion.“The building just shook, and we go outside and there’s massive cloud smoke,” Tabrizi said. “Crazy explosion. It felt like a bomb went off. ... We went up to the scene, and we saw human remains.”Palm Springs is about a two-hour drive east of Los Angeles. Its known for upscale resorts, golf courses and a history of celebrity residents.","The FBI says the explosion that damaged a fertility clinic in Palm Springs, California, was an ‘intentional act of terrorism’ Authorities are still working to confirm the identity of the person who died at the scene. Attorney General Pam Bondi said federal agents were working to learn more about the explosion.","https://static.toiimg.com/thumb/msid-121243722,imgsize-127844,width-400,resizemode-4/121243722.jpg"
"UAE pours money into Africa, seeking resources, power",https://timesofindia.indiatimes.com/world/us/uae-pours-money-into-africa-seeking-resources-power/articleshow/121242364.cms,"President Donald Trump speaks with Crown Prince Mohammed bin Salman of Saudi Arabia (NYT photo)





Look at the chief economic and strategic spots across Africa — ports for key trade corridors, mines that produce critical minerals, large renewable energy projects — and you will find the United Arab Emirates. As the United States and, to a lesser extent, China reduce their investment, aid and presence on the continent, the Emirates is using its enormous wealth to fill the void. Persian Gulf investments in Africa, primarily by the Emirates, have exploded in recent years. Since 2019, $110 billion worth of deals — mostly by firms tightly aligned with the ruling powers — have been announced, dwarfing amounts pledged by any other country. “The UAE is turning into a dominant foreign player” in much of Africa, said Anna Jacobs, a nonresident fellow at the Arab Gulf States Institute in Washington.Its efforts to become a world leader, particularly in finance and technology, are likely to be bolstered under President Trump, Jacobs said. The President, seeking to draw Emirati money to the United States, paved the way this week for the sale of American advanced artificial intelligence chips to the Emirates.Like other oil-producing nations in the Persian Gulf, the Emirates is looking to diversify its economy away from fossil fuels, and it sees Africa as an essential part of the plan.The continent has vast mineral resources, a growing population, agricultural potential and a strategically important location bordering the Red and Mediterranean seas as well as the Indian and Atlantic oceans.Powerhouse Emirati corporations based in Dubai and Abu Dhabi with political connections are in dozens of countries across Africa. AMEA Power is already building or operating clean energy plants in Burkina Faso, Djibouti, Egypt, Ethiopia, Ivory Coast, Kenya, Morocco, South Africa, Togo, Tunisia and Uganda and has plans to expand. Abu Dhabi National Energy has projects in Morocco, Senegal and South Africa. DP World , the gargantuan govt-backed ports and logistics operator, has invested billions of dollars in ports and economic free zones from Algeria to Zambia, including in the Berbera port city in the breakaway republic of Somaliland, where the Emirates also has a military base.Last year, the Emirati International Holding invested more than $1 billion for a 51% share in the Mopani Copper Mines in Zambia.Spending in Egypt has also soared. Last year, the Emirates agreed to invest $35 billion to develop a new city and tourism destination on Egypt’s Mediterranean coast.Once the biggest foreign investor on the continent through its Belt and Road Initiative, China still has a large presence, but Beijing has pulled back in recent years after a series of debt crises in Africa and at home.In 2022 and 2023, the Emirates announced a total of $97 billion in investments in Africa — three times China’s total, according to fDi Markets, a database of foreign investments. US investment in 2023 was about $10 billion.Meanwhile, Trump has fast-tracked the US’ exit from Africa, ending billions of dollars in funding, dismantling the USAID and ending all contributions to the African Development Bank.","The United Arab Emirates is using its enormous wealth to fill the void. Persian Gulf investments in Africa, primarily by the Emirates, have exploded in recent years. $110 billion worth of deals — mostly by firms tightly aligned with the ruling powers — have been announced, dwarfing amounts pledged by any other country.","https://static.toiimg.com/thumb/msid-121242351,imgsize-182096,width-400,resizemode-4/121242351.jpg"
"NYU student blasts Gaza war as 'genocide' in graduation speech, gets diploma withheld: 'He lied'",https://timesofindia.indiatimes.com/world/us/nyu-student-blasts-gaza-war-as-genocide-in-graduation-speech-gets-diploma-withheld-he-lied/articleshow/121241667.cms,"NYU's Logan Rozos deviated from his pre-approved speech and called Gaza war 'genocide' in graduation speech.





The New York University decided to withhold the diploma of Logan Rozos , a student who chose to condemn Israel's war in Gaza as 'genocide' at the graduation speech, keeping the administration in dark. His speech drew loud cheers from the audience while the administration said NYU was deeply sorry that the audience had to listen to these remarks.NYU spokesperson John Beckman said Logan's speech was approved previously but on the stage, he deviated from his speech and now the university will take disciplinary action against him.""He lied about the speech he was going to deliver and violated the commitment he made to comply with our rules,"" Beckman said. ""NYU is deeply sorry that the audience was subjected to these remarks and that this moment was stolen by someone who abused a privilege that was conferred upon him.""“The only thing that is appropriate to say in this time, and to a group this large, is a recognition of the atrocities currently happening in Palestine,” Rozos said to an applauding crowd at the Beacon Theatre.“I want to say that the genocide currently occurring is supported politically and militarily by the United States, is paid for by our tax dollars,” he said.“I just want to say I condemn this genocide and complicity in this genocide,” Rozos concluded.Rozos, who is an actor and a member of the Gallatin Theatre Troupe, was chosen to deliver the address. Anti-Defamation Leauge condemned the speech and said no student, especially no Jewish students should have to sit through politicised rhetoric that ""promotes harmful lies about Israel during such a personal milestone"".Rep. Jared Moskowitz (D.-Fla.) said the university has every right to withhold the diploma because he lied to the university. “He lied to the university. Second of all, he lied to everyone listening. There’s no genocide going on in Israel. There is a war, it’s unfortunate,” Moskowitz said“You know, in fact, they can give him his diploma, it’s not going to matter. Good luck getting a job. That was a stupid, selfish thing — ruined the ceremony for a lot of families,” Moskowitz added.","Logan Rozos deviated from his pre-approved speech and called Gaza war 'genocide' in graduation speech. Anti-Defamation Leauge condemned the speech and said no student, especially no Jewish students should have to sit through politicised rhetoric that ""promotes harmful lies about Israel""","https://static.toiimg.com/thumb/msid-121241673,width-400,resizemode-4/121241673.jpg"
"'Felt like a bomb went off': Massive explosion rocks Palm Springs, one reported dead",https://timesofindia.indiatimes.com/world/us/felt-like-a-bomb-went-off-massive-explosion-rocks-palm-springs-one-reported-dead/articleshow/121241630.cms,"(Source: X)





A powerful explosion shook the Californian city of Palm Springs on Saturday morning, killing one person and triggering a major response from police, firefighters and federal investigators.The blast occurred just before 11 am local time near the junction of North Indian Canyon Drive and East Tachevah Drive. Officials have urged residents to avoid the area as emergency crews work at the scene.The city confirmed the explosion in a Facebook post, stating that police and fire crews were responding and that the situation remained active. “Palm Springs Police and Fire are currently on scene and request that residents stay away from the area so that emergency crews can work the incident,” the post read.A law enforcement source told NBC News that one person had died in the explosion. No further injuries were immediately reported, and the identity of the deceased has not yet been released.The Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) has deployed investigators to assist with the inquiry. “They are on their way to help assess what happened,” said ATF spokesperson Nicole Lozano.The explosion occurred at the American Reproductive Centers fertility clinic.Dr Maher Abdallah, who runs the facility, told The Associated Press that none of his staff were hurt. “I really have no clue what happened,” he said. “Thank God today happened to be a day that we have no patients.” While the clinic’s consultation rooms were damaged, the IVF lab and its stored embryos remained intact.Resident Nima Tabrizi was nearby at a cannabis dispensary when he felt the blast. “The building just shook, and we go outside and there’s massive cloud smoke,” he said. “Crazy explosion. It felt like a bomb went off..... We went up to the scene, and we saw human remains.”Images shared on social media showed debris strewn across the street in front of multiple businesses, with people reporting they could feel the blast across parts of the city.Palm Springs is a popular desert destination east of Los Angeles known for its luxury resorts and celebrity history.","A powerful explosion shook the Californian city of Palm Springs on Saturday morning, killing one person. The blast occurred just before 11 am local time near the junction of North Indian Canyon Drive and East Tachevah Drive. Officials have urged residents to avoid the area as emergency crews work at the scene.","https://static.toiimg.com/thumb/msid-121241637,imgsize-1387553,width-400,resizemode-4/121241637.jpg"
‘Eat the tariffs’: Donald Trump scolds Walmart after retailer blames import taxes for price hikes,https://timesofindia.indiatimes.com/world/us/eat-the-tariffs-donald-trump-scolds-walmart-after-retailer-blames-import-taxes-for-price-hikes/articleshow/121241541.cms,"



US President Donald Trump on Saturday told Walmart to “eat the tariffs” after the retail giant warned that it would have to raise prices because of the new import taxes . Trump said that the retail giant should not blame tariffs for the price hikes.The US’s biggest retailer recently said that tariffs, even at reduced levels, would soon force price increases on many of its products. Walmart CEO Doug McMillon explained that while the company would try to keep prices low, it could not “absorb all the pressure” caused by the tariffs.In response, Trump took to his social media platform, Truth Social, to scold Walmart. “Walmart should STOP trying to blame Tariffs as the reason for raising prices throughout the chain,” he wrote. “Walmart made BILLIONS OF DOLLARS last year, far more than expected.”Trump urged Walmart to keep prices down despite the tariffs. “EAT THE TARIFFS,” he said, adding, “I’ll be watching, and so will your customers.”Walmart’s warning comes amid growing concerns over inflation and rising costs, with Trump pushing to keep prices stable as part of his trade policy. About one-third of Walmart’s products come from overseas, with many imported from China and Mexico.The company sells a wide range of affordable goods to millions of Americans and says 90% of the population is its customers, according to the New York Times.Many retailers have avoided raising prices so far by stockpiling goods. Walmart is seen as somewhat protected because many of its groceries are sourced within the United States. However, the company has stopped projecting profits for the current quarter due to the uncertainty caused by tariffs.Walmart reported a sales increase of over 3%, reaching $112 billion in the last quarter, and expects revenue growth of 3% to 4% for the year. Walmart is one of several companies warning that shoppers could soon face higher prices as import taxes drive up costs.","US President Donald Trump told Walmart to ""eat the tariffs"" after the retail giant warned that it would have to raise prices. Walmart CEO Doug McMillon explained that while the company would try to keep prices low, it could not “absorb all the pressure” caused by the tariffs.","https://static.toiimg.com/thumb/msid-121241567,imgsize-1450981,width-400,resizemode-4/121241567.jpg"
